Station,Radius,Latitude,Longitude
Queen St W,50,43.63879,-79.44600
2222 Dundas,50,43.65388,-79.45173
1269 College,100,43.65113,-79.43968
Crawford & College,50,43.65520,-79.41858
Grace & College,50,43.65494,-79.41545
Bathurst & Dundas,50,43.65242,-79.40541
Kensington-Chinatown,50,43.65172,-79.40380
63 Lower Spadina,50,43.63831,-79.39202
Adelaide St W,50,43.64680,-79.39542
Spadina & Collage,60,43.65790,-79.40052
20 Carlton,50,43.66142,-79.38166
436 Parliament,50,43.66190,-79.36702
Daniels Building,100,43.65972,-79.40043
Cabbagetown,50,43.66425,-79.36790
